cluster,devicename,consumerno,2026-09-01,RECIEVED,EXPECTED,PERCENTAGE,INSTALLATION_DATE
cluster_1,ISKUS1597004,77804267258,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597005,77804267193,1,1,1,100.0,2026-06-05 00:00:00
cluster_1,ISKUS1597007,77804267070,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597009,77804267177,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597010,77804267215,1,1,1,100.0,2026-05-05 00:00:00
cluster_1,ISKUS1597092,26804004477,1,1,1,100.0,2026-05-15 00:00:00
cluster_1,ISKUS1597141,26824105236,1,1,1,100.0,2026-06-05 00:00:00
cluster_1,ISKUS1597142,26821113939,1,1,1,100.0,2026-06-06 00:00:00
cluster_1,ISKUS1597143,26801105680,1,1,1,100.0,2026-06-05 00:00:00
cluster_1,ISKUS1597144,26825105027,1,1,1,100.0,2026-06-18 00:00:00
cluster_1,ISKUS1597145,26821113955,1,1,1,100.0,2026-06-05 00:00:00
cluster_1,ISKUS1597146,26806102492,1,1,1,100.0,2026-06-18 00:00:00
cluster_1,ISKUS1597147,26808107645,1,1,1,100.0,2026-08-05 00:00:00
cluster_1,ISKUS1597148,26802111268,1,1,1,100.0,2026-06-19 00:00:00
cluster_1,ISKUS1597149,26804104188,1,1,1,100.0,2026-05-06 00:00:00
cluster_1,ISKUS1597182,26810012346,1,1,1,100.0,2026-08-11 00:00:00
cluster_1,ISKUS1597211,26811105615,1,1,1,100.0,2026-06-09 00:00:00
cluster_1,ISKUS1597247,26811018046,1,1,1,100.0,2026-08-04 00:00:00
cluster_1,ISKUS1597249,26821104123,1,1,1,100.0,2026-05-27 00:00:00
cluster_1,ISKUS1596125,27547104967,1,1,1,100.0,2026-05-02 00:00:00
cluster_1,ISKUS1596690,73202014730,1,1,1,100.0,2026-06-05 00:00:00
cluster_1,ISKUS1597147,26808107645,1,1,1,100.0,2026-06-18 00:00:00
cluster_1,ISKUS1597274,26301002792,1,1,1,100.0,2026-04-14 00:00:00
cluster_1,ISKUS1597276,26316055501,1,1,1,100.0,2026-06-05 00:00:00
cluster_1,ISKUS1597298,26325000706,1,1,1,100.0,2026-06-29 00:00:00
